poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Trump,7
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Clinton,85
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Johnson,NA
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,McMullin,NA
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Other,6
2016-washington-d-c-president-trump-vs-clinton,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Undecided,2
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,Trump,6
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,Clinton,92
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,Johnson,NA
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,McMullin,NA
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,Other,NA
2016-washington-d-c-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,2016,washington-d-c,Undecided,3
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,Trump,4
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,Clinton,88
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,Johnson,NA
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,McMullin,NA
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,Other,7
2016-washington-d-c-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,2016,washington-d-c,Undecided,1
2016-washington-d-c-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,None,2016,washington-d-c,Trump,13
