state,family_income,percent_families_below_poverty,percent_unemployed,percent_smokefree,percent_uneducated
alabama,83032,11.3,4.7,15.5,3.6
alaska,112321,6.5,5.9,48.4,1.9
arizona,95980,8.7,5.1,100,4.5
arkansas,76968,11.5,4.9,0.5,4.3
california,113346,8.5,6.6,100,8.7
colorado,119139,5.9,4.6,100,3.1
connecticut,122706,6.9,5.6,100,4
delaware,105121,7.2,5.1,100,3
florida,89891,8.9,4.8,0,4.2
georgia,93754,9.9,5.1,19.5,4.2
hawaii,118909,6.8,4.9,100,3
idaho,92668,7.1,3.7,14.7,3.2
illinois,106018,8.2,5.8,100,4.6
indiana,90767,8.5,4.3,31.5,3.6
iowa,97491,7,3.6,100,2.7
kansas,95810,7.5,3.9,100,3.5
kentucky,81505,11.9,4.9,39.6,4.3
louisiana,79407,14.1,6.3,33,4.5
maine,96912,6.4,3.8,100,1.7
maryland,127817,6.4,4.9,100,4
massachusetts,131675,6.7,5.2,100,4.3
michigan,93357,8.9,5.7,100,2.6
minnesota,113993,5.6,4.1,100,2.7
mississippi,73163,14.3,5.8,36,4.3
missouri,91360,8.4,4,31.6,2.7
montana,92794,6.7,3.6,100,1.6
nebraska,99751,7,3,100,3.8
nevada,92663,8.9,7,0,5.5
new_hampshire,122715,4.5,3.3,100,1.8
new_jersey,127025,7,6.3,100,4.7
new_mexico,79556,13.7,6,100,5.1
new_york,106873,10,6.4,100,6
north_carolina,90290,9.2,4.7,100,3.9
north_dakota,104993,6.5,2.8,100,2.3
ohio,92749,9.3,4.8,100,2.6
oklahoma,82385,11.3,5,0,3.8
oregon,102281,7.5,5.4,100,3.3
pennsylvania,100262,8,5.3,0,2.9
rhode_island,112375,7.2,5.8,100,4.8
south_carolina,86707,10.1,4.9,41,3.1
south_dakota,96562,7.5,2.9,100,2.6
tennessee,87314,9.8,4.7,0,3.7
texas,94599,10.5,5.3,46.9,7.3
utah,109675,5.6,3.6,100,2.7
vermont,105211,5.8,3.6,100,1.6
virginia,115213,6.8,4.3,3,3.6
washington,118075,6.4,5.1,100,3.4
west_virginia,77710,12,5.4,63.5,3.2
wisconsin,100141,6.6,3.2,100,2.3
wyoming,96997,6.8,3.7,28.5,1.9
