Education (Less than 9th grade) by State
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2020-2024"
Sorted by Value

State,FIPS,Percent,People (Education: Less Than 9th Grade),Rank within US (of 52 states)
"United States",00000,4.7,10803193,"N/A"
"Puerto Rico",72001,11.8,286543,"52"
"California",06000,8.7,2364237,"51"
"Texas",48000,7.3,1431435,"50"
"New York",36000,6.0,844220,"49"
"Nevada",32000,5.5,122282,"48"
"New Mexico",35000,5.1,74982,"47"
"Rhode Island",44000,4.8,37274,"46"
"New Jersey",34000,4.7,308429,"45"
"Illinois",17000,4.6,399033,"44"
"Arizona",04000,4.5,230872,"42"
"Louisiana",22000,4.5,139964,"42"
"Arkansas",05000,4.3,88610,"38"
"Kentucky",21000,4.3,133806,"38"
"Massachusetts",25000,4.3,216892,"38"
"Mississippi",28000,4.3,85528,"38"
"Florida",12000,4.2,682840,"36"
"Georgia",13000,4.2,311914,"36"
"Connecticut",09000,4.0,101458,"34"
"Maryland",24000,4.0,172221,"34"
"North Carolina",37000,3.9,286592,"33"
"Nebraska",31000,3.8,49517,"31"
"Oklahoma",40000,3.8,101429,"31"
"Tennessee",47000,3.7,179064,"30"
"Alabama",01000,3.6,124264,"27"
"Indiana",18000,3.6,167594,"27"
"Virginia",51000,3.6,215871,"27"
"Kansas",20000,3.5,67293,"26"
"Washington",53000,3.4,187952,"25"
"Oregon",41000,3.3,100549,"24"
"Idaho",16000,3.2,40562,"22"
"West Virginia",54000,3.2,40574,"22"
"Colorado",08000,3.1,126229,"20"
"South Carolina",45000,3.1,114948,"20"
"Delaware",10000,3.0,21709,"17"
"District of Columbia",11001,3.0,14855,"17"
"Hawaii",15000,3.0,30475,"17"
"Pennsylvania",42000,2.9,262844,"16"
"Iowa",19000,2.7,58864,"12"
"Minnesota",27000,2.7,103981,"12"
"Missouri",29000,2.7,113252,"12"
"Utah",49000,2.7,55477,"12"
"Michigan",26000,2.6,180256,"9"
"Ohio",39000,2.6,215953,"9"
"South Dakota",46000,2.6,15951,"9"
"North Dakota",38000,2.3,12040,"7"
"Wisconsin",55000,2.3,96274,"7"
"Alaska",02900,1.9,9484,"5"
"Wyoming",56000,1.9,7729,"5"
"New Hampshire",33000,1.8,17982,"4"
"Maine",23000,1.7,17615,"3"
"Montana",30000,1.6,12365,"1"
"Vermont",50000,1.6,7652,"1"

Suggested Citation:
HDPulse: An Ecosystem of Health Disparities and Specific Populations Health Resources. National Institute on Minority Health and Health Disparities. Created 8/13/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (Less than 9th grade), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#education."
