Income (Median family income) by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2020-2024"
Sorted by Value

State,FIPS,Dollars,Rank within US (of 52 states)
"United States",00000,"99,999","N/A"
"Puerto Rico",72001,"32,277","52"
"Mississippi",28000,"73,163","51"
"Arkansas",05000,"76,968","50"
"West Virginia",54000,"77,710","49"
"Louisiana",22000,"79,407","48"
"New Mexico",35000,"79,556","47"
"Kentucky",21000,"81,505","46"
"Oklahoma",40000,"82,385","45"
"Alabama",01000,"83,032","44"
"South Carolina",45000,"86,707","43"
"Tennessee",47000,"87,314","42"
"Florida",12000,"89,891","41"
"North Carolina",37000,"90,290","40"
"Indiana",18000,"90,767","39"
"Missouri",29000,"91,360","38"
"Nevada",32000,"92,663","37"
"Idaho",16000,"92,668","36"
"Ohio",39000,"92,749","35"
"Montana",30000,"92,794","34"
"Michigan",26000,"93,357","33"
"Georgia",13000,"93,754","32"
"Texas",48000,"94,599","31"
"Kansas",20000,"95,810","30"
"Arizona",04000,"95,980","29"
"South Dakota",46000,"96,562","28"
"Maine",23000,"96,912","27"
"Wyoming",56000,"96,997","26"
"Iowa",19000,"97,491","25"
"Nebraska",31000,"99,751","24"
"Wisconsin",55000,"100,141","23"
"Pennsylvania",42000,"100,262","22"
"Oregon",41000,"102,281","21"
"North Dakota",38000,"104,993","20"
"Delaware",10000,"105,121","19"
"Vermont",50000,"105,211","18"
"Illinois",17000,"106,018","17"
"New York",36000,"106,873","16"
"Utah",49000,"109,675","15"
"Alaska",02900,"112,321","14"
"Rhode Island",44000,"112,375","13"
"California",06000,"113,346","12"
"Minnesota",27000,"113,993","11"
"Virginia",51000,"115,213","10"
"Washington",53000,"118,075","9"
"Hawaii",15000,"118,909","8"
"Colorado",08000,"119,139","7"
"Connecticut",09000,"122,706","6"
"New Hampshire",33000,"122,715","5"
"New Jersey",34000,"127,025","4"
"Maryland",24000,"127,817","3"
"Massachusetts",25000,"131,675","2"
"District of Columbia",11001,"155,025","1"

Suggested Citation:
HDPulse: An Ecosystem of Health Disparities and Specific Populations Health Resources. National Institute on Minority Health and Health Disparities. Created 8/13/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
