Children ever having a parent or guardian serve time in jail 
"All Races (includes Hispanic/Latino), Both Sexes, Ages <18, 2024"

Sorted by Percent

State,FIPS,Percent(1)
"United States",00000,6.5
"West Virginia",54000,12.5
"Alabama",01000,11.3
"Wyoming",56000,11.0
"Kentucky",21000,10.8
"Tennessee",47000,10.1
"Arkansas",05000,9.8
"Alaska",02900,9.5
"South Dakota",46000,9.5
"New Mexico",35000,9.1
"Delaware",10000,9.0
"Missouri",29000,8.7
"Florida",12000,8.6
"Michigan",26000,8.5
"Georgia",13000,8.3
"Montana",30000,8.1
"Maine",23000,8.0
"Mississippi",28000,7.8
"North Dakota",38000,7.6
"Louisiana",22000,7.4
"Indiana",18000,7.3
"Ohio",39000,7.3
"South Carolina",45000,7.3
"District of Columbia",11001,7.1
"Idaho",16000,7.1
"Wisconsin",55000,7.1
"Oklahoma",40000,6.5
"Oregon",41000,6.5
"Virginia",51000,6.5
"Nebraska",31000,6.4
"Pennsylvania",42000,6.3
"Kansas",20000,6.0
"Nevada",32000,5.9
"Iowa",19000,5.7
"Maryland",24000,5.7
"North Carolina",37000,5.6
"Arizona",04000,5.2
"Illinois",17000,5.0
"Utah",49000,4.9
"Washington",53000,4.9
"Minnesota",27000,4.5
"New Hampshire",33000,4.2
"Hawaii",15000,4.1
"Vermont",50000,4.1
"Texas",48000,3.9
"Colorado",08000,3.7
"New York",36000,3.7
"Connecticut",09000,3.6!
"California",06000,3.1
"New Jersey",34000,2.2!
"Rhode Island",44000,1.9
"Massachusetts",25000,1.8!
"Puerto Rico",72001,NA

Suggested Citation:
HDPulse: An Ecosystem of Health Disparities and Specific Populations Health Resources. National Institute on Minority Health and Health Disparities. Created 8/30/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"(1) Source: National Survey of Children's Health, Health Resources and Services Administration, Maternal and Child Health Bureau. [ https://mchb.hrsa.gov/data/national-surveys ]"
"Citation: Child and Adolescent Health Measurement Initiative. 2024 National Survey of Children's Health (NSCH) data query. Data Resource Center for Child and Adolescent Health supported by the U.S. Department of Health and Human Services, Health Resources and Services Administration (HRSA), Maternal and Child Health Bureau (MCHB). Retrieved from www.childhealthdata.org [ http://www.childhealthdata.org ]. US percent is based on median percent across states/territories."

! Please interpret with caution: estimate has a 95% confidence interval width exceeding 20 percentage points or 1.2 times the estimate and may not be reliable. For more information about the data suppression and display criteria click here [ https://www.childhealthdata.org/docs/default-source/nsch-docs/nsch_data-supression-and-display_revised_4-13-20.pdf?sfvrsn=72d45e17_2 ].
NA: Some data are not available or suppressed due to insufficient counts.

"When list box options are disabled or greyed out, data are not available for that selection. [ https://hdpulse.nimhd.nih.gov/data/datanotavailable.html ]"
