Poverty (Families below poverty) by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2020-2024"
Sorted by Value

State,FIPS,Percent,Families (Below Poverty),Rank within US (of 52 states)
"United States",00000,8.8,7273175,"N/A"
"Puerto Rico",72001,37.2,304523,"52"
"Mississippi",28000,14.3,106569,"51"
"Louisiana",22000,14.1,159327,"50"
"New Mexico",35000,13.7,69783,"49"
"West Virginia",54000,12.0,54881,"48"
"District of Columbia",11001,11.9,15719,"46"
"Kentucky",21000,11.9,137633,"46"
"Arkansas",05000,11.5,89262,"45"
"Alabama",01000,11.3,145226,"43"
"Oklahoma",40000,11.3,113090,"43"
"Texas",48000,10.5,783992,"42"
"South Carolina",45000,10.1,138761,"41"
"New York",36000,10.0,473652,"40"
"Georgia",13000,9.9,266110,"39"
"Tennessee",47000,9.8,178011,"38"
"Ohio",39000,9.3,276150,"37"
"North Carolina",37000,9.2,254486,"36"
"Florida",12000,8.9,505099,"33"
"Michigan",26000,8.9,226913,"33"
"Nevada",32000,8.9,68575,"33"
"Arizona",04000,8.7,159678,"32"
"California",06000,8.5,784069,"30"
"Indiana",18000,8.5,147599,"30"
"Missouri",29000,8.4,130337,"29"
"Illinois",17000,8.2,256731,"28"
"Pennsylvania",42000,8.0,262209,"27"
"Kansas",20000,7.5,55803,"24"
"Oregon",41000,7.5,79161,"24"
"South Dakota",46000,7.5,16825,"24"
"Delaware",10000,7.2,18748,"22"
"Rhode Island",44000,7.2,19356,"22"
"Idaho",16000,7.1,34709,"21"
"Iowa",19000,7.0,56479,"18"
"Nebraska",31000,7.0,34824,"18"
"New Jersey",34000,7.0,166374,"18"
"Connecticut",09000,6.9,63285,"17"
"Hawaii",15000,6.8,22617,"14"
"Virginia",51000,6.8,148713,"14"
"Wyoming",56000,6.8,10170,"14"
"Massachusetts",25000,6.7,115721,"12"
"Montana",30000,6.7,18408,"12"
"Wisconsin",55000,6.6,99160,"11"
"Alaska",02900,6.5,11270,"9"
"North Dakota",38000,6.5,12299,"9"
"Maine",23000,6.4,23294,"6"
"Maryland",24000,6.4,98652,"6"
"Washington",53000,6.4,124806,"6"
"Colorado",08000,5.9,86795,"5"
"Vermont",50000,5.8,9333,"4"
"Minnesota",27000,5.6,80470,"2"
"Utah",49000,5.6,45853,"2"
"New Hampshire",33000,4.5,16188,"1"

Suggested Citation:
HDPulse: An Ecosystem of Health Disparities and Specific Populations Health Resources. National Institute on Minority Health and Health Disparities. Created 8/13/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Families below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#poverty."
