Workforce (Unemployed) by State
"All Races (includes Hispanic/Latino), Both Sexes, Ages 16+, 2020-2024"
Sorted by Value

State,FIPS,Percent,People (Unemployed),Rank within US (of 52 states)
"United States",00000,5.2,8902365,"N/A"
"Puerto Rico",72001,10.7,138463,"52"
"Nevada",32000,7.0,112440,"51"
"California",06000,6.6,1325568,"50"
"New York",36000,6.4,648175,"49"
"District of Columbia",11001,6.3,25416,"46"
"Louisiana",22000,6.3,135161,"46"
"New Jersey",34000,6.3,315874,"46"
"New Mexico",35000,6.0,58172,"45"
"Alaska",02900,5.9,21037,"44"
"Illinois",17000,5.8,388370,"41"
"Mississippi",28000,5.8,76677,"41"
"Rhode Island",44000,5.8,34430,"41"
"Michigan",26000,5.7,286296,"40"
"Connecticut",09000,5.6,109626,"39"
"Oregon",41000,5.4,117000,"37"
"West Virginia",54000,5.4,42641,"37"
"Pennsylvania",42000,5.3,351289,"35"
"Texas",48000,5.3,802438,"35"
"Massachusetts",25000,5.2,201593,"34"
"Arizona",04000,5.1,183239,"30"
"Delaware",10000,5.1,26301,"30"
"Georgia",13000,5.1,282204,"30"
"Washington",53000,5.1,204777,"30"
"Oklahoma",40000,5.0,95693,"29"
"Arkansas",05000,4.9,69655,"24"
"Hawaii",15000,4.9,34516,"24"
"Kentucky",21000,4.9,104742,"24"
"Maryland",24000,4.9,162200,"24"
"South Carolina",45000,4.9,125193,"24"
"Florida",12000,4.8,531580,"22"
"Ohio",39000,4.8,285380,"22"
"Alabama",01000,4.7,111265,"19"
"North Carolina",37000,4.7,251905,"19"
"Tennessee",47000,4.7,164955,"19"
"Colorado",08000,4.6,149719,"18"
"Indiana",18000,4.3,148488,"16"
"Virginia",51000,4.3,190525,"16"
"Minnesota",27000,4.1,126788,"15"
"Missouri",29000,4.0,125358,"14"
"Kansas",20000,3.9,59250,"13"
"Maine",23000,3.8,27132,"12"
"Idaho",16000,3.7,35649,"10"
"Wyoming",56000,3.7,11113,"10"
"Iowa",19000,3.6,60853,"6"
"Montana",30000,3.6,20602,"6"
"Utah",49000,3.6,63306,"6"
"Vermont",50000,3.6,12519,"6"
"New Hampshire",33000,3.3,25970,"5"
"Wisconsin",55000,3.2,101728,"4"
"Nebraska",31000,3.0,32072,"3"
"South Dakota",46000,2.9,13933,"2"
"North Dakota",38000,2.8,11552,"1"

Suggested Citation:
HDPulse: An Ecosystem of Health Disparities and Specific Populations Health Resources. National Institute on Minority Health and Health Disparities. Created 8/13/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce (Unemployed), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#workforce."
